ymd,high,low,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
2017-01-01,16,10,晴~多云,东南风,1-2级,54,良,2
2017-01-02,15,8,多云,北风,1-2级,92,良,2
2017-01-03,14,9,晴~多云,东风,1-2级,131,轻度污染,3
2017-01-04,15,11,小雨~中雨,东风,1-2级,75,良,2
2017-01-05,12,11,中雨~小雨,东风,1-2级,44,优,1
2017-01-06,14,11,小雨~中雨,东风,1-2级,36,优,1
2017-01-07,13,9,小雨,东风,1-2级,29,优,1
2017-01-08,10,5,小雨~阴,西北风,3-4级,105,轻度污染,3
2017-01-09,8,4,多云,北风,1-2级,82,良,2
2017-01-10,9,6,多云~阴,北风,1-2级,109,轻度污染,3
2017-01-11,9,5,小雨,东北风,1-2级,50,优,1
2017-01-12,8,3,小雨~多云,西北风,1-2级,72,良,2
2017-01-13,11,2,晴,西北风,1-2级,127,轻度污染,3
2017-01-14,8,3,多云~阴,北风,1-2级,47,优,1
2017-01-15,7,2,多云,东北风,1-2级,27,优,1
2017-01-16,8,5,多云,东北风,1-2级,31,优,1
2017-01-17,10,7,阴~小雨,东风,1-2级,58,良,2
2017-01-18,9,7,小雨,东风,1-2级,50,优,1
2017-01-19,9,0,小雨~阴,北风,1-2级,102,轻度污染,3
2017-01-20,3,-1,晴~多云,西北风,3-4级,103,轻度污染,3
2017-01-21,6,0,晴~多云,西风,1-2级,48,优,1
2017-01-22,6,0,晴,西北风,1-2级,70,良,2
2017-01-23,7,1,晴,北风,1-2级,39,优,1
2017-01-24,9,3,多云,东北风,1-2级,40,优,1
2017-01-25,10,4,多云~晴,东风,1-2级,75,良,2
2017-01-26,13,5,晴~多云,南风,1-2级,77,良,2
2017-01-27,10,5,多云,东北风,3-4级,77,良,2
2017-01-28,15,8,多云,东南风,1-2级,63,良,2
2017-01-29,20,4,多云~小雨,西南风,1-2级,82,良,2
2017-01-30,6,2,多云,北风,3-4级,42,优,1
2017-01-31,7,3,多云~小雨,东北风,1-2级,26,优,1
2017-02-01,7,4,多云,北风,3-4级,40,优,1
2017-02-02,7,5,多云~小雨,东北风,1-2级,46,优,1
2017-02-03,10,8,小雨,东南风,1-2级,27,优,1
2017-02-04,11,6,小雨~阴,西北风,1-2级,68,良,2
2017-02-05,12,4,晴,西北风,1-2级,146,轻度污染,3
